Timestamp,IP Address,Latency (ms),Status
2025-08-17 17:19:52.738115,8.8.8.8,41.6,OK
2025-08-17 17:19:52.741147,0.0.0.0,0.026,OK
2025-08-17 17:20:03.012838,8.8.8.8,46.9,OK
2025-08-17 17:20:03.015961,0.0.0.0,0.026,OK
2025-08-17 17:20:13.263833,8.8.8.8,41.6,OK
2025-08-17 17:20:13.267512,0.0.0.0,0.028,OK
2025-08-17 17:20:23.511671,8.8.8.8,42.8,OK
2025-08-17 17:20:23.514800,0.0.0.0,0.024,OK
2025-08-17 17:20:33.756117,8.8.8.8,43.1,OK
2025-08-17 17:20:33.759272,0.0.0.0,0.024,OK
2025-08-17 17:20:44.009031,8.8.8.8,41.4,OK
2025-08-17 17:20:44.012505,0.0.0.0,0.052,OK
2025-08-17 17:20:54.265656,8.8.8.8,42.9,OK
2025-08-17 17:20:54.269286,0.0.0.0,0.027,OK
2025-08-17 17:21:04.508706,8.8.8.8,41.1,OK
2025-08-17 17:21:04.511613,0.0.0.0,0.025,OK
2025-08-17 17:21:14.779184,8.8.8.8,40.9,OK
2025-08-17 17:21:14.782982,0.0.0.0,0.057,OK
2025-08-17 17:21:25.051317,8.8.8.8,41.5,OK
2025-08-17 17:21:25.054238,0.0.0.0,0.025,OK
2025-08-17 17:21:35.325017,8.8.8.8,42.4,OK
2025-08-17 17:21:35.328448,0.0.0.0,0.025,OK
2025-08-17 17:21:45.597727,8.8.8.8,41.3,OK
2025-08-17 17:21:45.601530,0.0.0.0,0.026,OK
2025-08-17 17:21:55.877801,8.8.8.8,42.5,OK
2025-08-17 17:21:55.881285,0.0.0.0,0.027,OK
2025-08-17 17:22:06.138800,8.8.8.8,43.1,OK
2025-08-17 17:22:06.142400,0.0.0.0,0.027,OK
2025-08-17 17:22:16.426183,8.8.8.8,43.8,OK
2025-08-17 17:22:16.429284,0.0.0.0,0.026,OK
2025-08-17 17:22:26.702502,8.8.8.8,40.7,OK
2025-08-17 17:22:26.705857,0.0.0.0,0.051,OK
2025-08-17 17:22:36.980675,8.8.8.8,40.9,OK
2025-08-17 17:22:36.984163,0.0.0.0,0.026,OK
2025-08-17 17:22:47.258435,8.8.8.8,41.5,OK
2025-08-17 17:22:47.261353,0.0.0.0,0.026,OK
2025-08-17 17:22:57.540716,8.8.8.8,41.0,OK
2025-08-17 17:22:57.543695,0.0.0.0,0.025,OK
2025-08-17 17:23:07.820428,8.8.8.8,40.7,OK
2025-08-17 17:23:07.823859,0.0.0.0,0.025,OK
2025-08-17 17:23:18.109002,8.8.8.8,41.7,OK
2025-08-17 17:23:18.112551,0.0.0.0,0.028,OK
2025-08-17 17:23:28.438413,8.8.8.8,43.0,OK
2025-08-17 17:23:28.442086,0.0.0.0,0.038,OK
2025-08-17 17:23:38.726770,8.8.8.8,41.2,OK
2025-08-17 17:23:38.730467,0.0.0.0,0.026,OK
2025-08-17 17:23:49.022134,8.8.8.8,42.7,OK
2025-08-17 17:23:49.026418,0.0.0.0,0.058,OK
2025-08-17 17:23:59.313606,8.8.8.8,41.2,OK
2025-08-17 17:23:59.316602,0.0.0.0,0.026,OK
2025-08-17 17:24:09.598956,8.8.8.8,43.5,OK
2025-08-17 17:24:09.602741,0.0.0.0,0.024,OK
2025-08-17 17:24:19.899526,8.8.8.8,42.2,OK
2025-08-17 17:24:19.903340,0.0.0.0,0.06,OK
2025-08-17 17:24:30.198017,8.8.8.8,43.1,OK
2025-08-17 17:24:30.202074,0.0.0.0,0.027,OK
2025-08-17 17:24:40.580110,8.8.8.8,41.3,OK
2025-08-17 17:24:40.583293,0.0.0.0,0.026,OK
2025-08-17 17:24:50.894511,8.8.8.8,40.8,OK
2025-08-17 17:24:50.897390,0.0.0.0,0.025,OK
2025-08-17 17:25:01.198752,8.8.8.8,43.4,OK
2025-08-17 17:25:01.202233,0.0.0.0,0.026,OK
2025-08-17 17:25:11.509330,8.8.8.8,41.3,OK
2025-08-17 17:25:11.513153,0.0.0.0,0.042,OK
2025-08-17 17:25:21.809831,8.8.8.8,41.9,OK
2025-08-17 17:25:21.813751,0.0.0.0,0.051,OK
2025-08-17 17:25:32.165484,8.8.8.8,40.8,OK
2025-08-17 17:25:32.169080,0.0.0.0,0.026,OK
2025-08-17 17:25:42.516541,8.8.8.8,42.8,OK
2025-08-17 17:25:42.520343,0.0.0.0,0.053,OK
2025-08-17 17:25:52.883550,8.8.8.8,44.7,OK
2025-08-17 17:25:52.886728,0.0.0.0,0.026,OK
2025-08-17 17:26:03.248651,8.8.8.8,42.1,OK
2025-08-17 17:26:03.252550,0.0.0.0,0.027,OK
2025-08-17 17:26:13.591735,8.8.8.8,40.6,OK
2025-08-17 17:26:13.595314,0.0.0.0,0.026,OK
2025-08-17 17:26:23.931864,8.8.8.8,46.2,OK
2025-08-17 17:26:23.935549,0.0.0.0,0.026,OK
2025-08-17 17:26:34.252742,8.8.8.8,43.9,OK
2025-08-17 17:26:34.256578,0.0.0.0,0.026,OK
2025-08-17 17:26:44.594145,8.8.8.8,43.1,OK
2025-08-17 17:26:44.598026,0.0.0.0,0.025,OK
2025-08-17 17:26:54.938610,8.8.8.8,40.8,OK
2025-08-17 17:26:54.941522,0.0.0.0,0.026,OK
2025-08-17 17:27:05.309191,8.8.8.8,42.7,OK
2025-08-17 17:27:05.312473,0.0.0.0,0.063,OK
2025-08-17 17:27:15.671009,8.8.8.8,41.3,OK
2025-08-17 17:27:15.674485,0.0.0.0,0.028,OK
2025-08-17 17:27:26.050305,8.8.8.8,41.5,OK
2025-08-17 17:27:26.053981,0.0.0.0,0.026,OK
